Temp./Â°C;Test_In_23.04.2024_S3;Test2_In_23.04.2024_S5;Test_In_23.04.2024_S3;Test_In_23.04.2024_S5
32.86958;             ;       ;             ;       
33.36958;             ;       ;             ;       
33.86958;             ;       ;             ;       
34.36958;             ;       ;             ;       
34.86958;             ;       ;             ;       
35.36958;             ;       ;             ;       
35.86958;             ;       ;             ;       
36.36958;             ;       ;             ;       
36.86958;             ;       ;             ;       
37.36958;             ;       ;             ;       
37.86958;             ;       ;             ;       
38.36958;             ;       ;             ;       
38.86958;             ;       ;             ;       
39.36958;             ;       ;             ;       
39.86958;             ;       ;             ;       
40.36958;             ;       ;             ;       
40.86958;             ;       ;             ;       
41.36958;             ;       ;             ;       
41.86958;             ;       ;             ;       
42.36958;             ;       ;             ;       
42.86958;             ;       ;             ;       
43.36958;             ;       ;             ;       
43.86958;             ;       ;             ;       
44.36958;             ;       ;             ;       
44.86958;             ;       ;             ;       
45.36958;             ;       ;             ;       
45.86958;             ;       ;             ;       
46.36958;             ;       ;             ;       
46.86958;             ;       ;             ;       
47.36958;             ;       ;             ;       
47.86958;             ;       ;             ;       
48.36958;             ;       ;             ;       
48.86958;             ;       ;             ;       
49.36958;             ;       ;             ;       
49.86958;             ;       ;             ;       
50.36958;             ;       ;             ;       
50.86958;             ;       ;             ;       
51.36958;             ;       ;             ;       
51.86958;             ;       ;             ;       
52.36958;             ;       ;             ;       
52.86958;             ;       ;             ;       
53.36958;             ;       ;             ;       
53.86958;             ;       ;             ;       
54.36958;             ;       ;             ;       
54.86958;             ;       ;             ;       
55.36958;             ;       ;             ;       
55.86958;             ;       ;             ;       
56.36958;             ;       ;             ;       
56.86958;             ;       ;             ;       
57.36958;             ;       ;             ;       
57.86958;             ;       ;             ;       
58.36958;             ;       ;             ;       
58.86958;             ;       ;             ;       
59.36958;             ;       ;             ;       
59.86958;             ;       ;             ;       
60.36958;             ;       ;             ;       
60.86958;             ;       ;             ;       
61.36958;             ;       ;             ;       
61.86958;             ;       ;             ;       
62.36958;             ;       ;             ;       
62.86958;             ;       ;             ;       
63.36958;             ;       ;             ;       
63.86958;             ;       ;             ;       
64.36958;             ;       ;             ;       
64.86958;             ;       ;             ;       
65.36958;             ;       ;             ;       
65.86958;             ;       ;             ;       
66.36958;             ;       ;             ;       
66.86958;             ;       ;             ;       
67.36958;             ;       ;             ;       
67.86958;             ;       ;             ;       
68.36958;             ;       ;             ;       
68.86958;             ;       ;             ;       
69.36958;             ;       ;             ;       
69.86958;             ;       ;             ;       
70.36958;             ;       ;             ;       
70.86958;             ;       ;             ;       
71.36958;             ;       ;             ;       
71.86958;             ;       ;             ;       
72.36958;             ;       ;             ;       
72.86958;             ;       ;             ;       
73.36958;             ;       ;             ;       
73.86958;             ;       ;             ;       
74.36958;             ;       ;             ;       
74.86958;             ;       ;             ;       
75.36958;             ;       ;             ;       
75.86958;             ;       ;             ;       
76.36958;             ;       ;             ;       
76.86958;             ;       ;             ;       
77.36958;             ;       ;             ;       
77.86958;             ;       ;             ;       
78.36958;             ;       ;             ;       
78.86958;             ;       ;             ;       
79.36958;             ;       ;             ;       
79.86958;             ;       ;             ;       
80.36958;             ;       ;             ;       
80.86958;             ;       ;             ;       
81.36958;             ;       ;             ;       
81.86958;             ;       ;             ;       
82.36958;             ;       ;             ;       
82.86958;             ;       ;             ;       
83.36958;             ;       ;             ;       
83.86958;             ;       ;             ;       
84.36958;             ;       ;             ;       
84.86958;             ;       ;             ;       
85.36958;             ;       ;             ;       
85.86958;             ;       ;             ;       
86.36958;             ;       ;             ;       
86.86958;             ;       ;             ;       
87.36958;             ;       ;             ;       
87.86958;             ;       ;             ;       
88.36958;             ;       ;             ;       
88.86958;             ;       ;             ;       
89.36958;             ;       ;             ;       
89.86958;             ;       ;             ;       
90.36958;             ;       ;             ;       
90.86958;             ;       ;             ;       
91.36958;             ;       ;             ;       
91.86958;             ;       ;             ;       
92.36958;             ;       ;             ;       
92.86958;             ;       ;             ;       
93.36958;             ;       ;             ;       
93.86958;             ;       ;             ;       
94.36958;             ;       ;             ;       
94.86958;             ;       ;             ;       
95.36958;             ;       ;             ;       
95.86958;             ;       ;             ;       
96.36958;             ;       ;             ;       
96.86958;             ;       ;             ;       
97.36958;             ;       ;             ;       
97.86958;             ;       ;             ;       
98.36958;             ;       ;             ;       
98.86958; 4.655283e-02;       ; 4.655283e-02;       
99.36958; 4.655283e-02;       ; 4.655283e-02;       
99.86958; 4.641882e-02;0.15921; 4.641882e-02;0.15921
100.36958; 4.639797e-02;0.31187; 4.639797e-02;0.31187
100.86958; 4.680400e-02;0.30909; 4.680400e-02;0.30909
101.36958; 4.713336e-02;0.30489; 4.713336e-02;0.30489
101.86958; 4.776564e-02;0.30131; 4.776564e-02;0.30131
102.36958; 4.844499e-02;0.29828; 4.844499e-02;0.29828
102.86958; 4.963841e-02;0.29553; 4.963841e-02;0.29553
103.36958; 5.086129e-02;0.29338; 5.086129e-02;0.29338
103.86958; 5.200987e-02;0.29153; 5.200987e-02;0.29153
104.36958; 5.345614e-02;0.29010; 5.345614e-02;0.29010
104.86958; 5.462326e-02;0.28905; 5.462326e-02;0.28905
105.36958; 5.589256e-02;0.28839; 5.589256e-02;0.28839
105.86958; 5.706965e-02;0.28808; 5.706965e-02;0.28808
106.36958; 5.844635e-02;0.28809; 5.844635e-02;0.28809
106.86958; 5.969942e-02;0.28842; 5.969942e-02;0.28842
107.36958; 6.085191e-02;0.28906; 6.085191e-02;0.28906
107.86958; 6.215345e-02;0.28996; 6.215345e-02;0.28996
108.36958; 6.342438e-02;0.29083; 6.342438e-02;0.29083
108.86958; 6.488155e-02;0.29122; 6.488155e-02;0.29122
109.36958; 6.612092e-02;0.29171; 6.612092e-02;0.29171
109.86958; 6.753661e-02;0.29241; 6.753661e-02;0.29241
110.36958; 6.898590e-02;0.28807; 6.898590e-02;0.28807
110.86958; 7.040439e-02;0.28989; 7.040439e-02;0.28989
111.36958; 7.194515e-02;0.29181; 7.194515e-02;0.29181
111.86958; 7.311954e-02;0.29380; 7.311954e-02;0.29380
112.36958; 7.451860e-02;0.29607; 7.451860e-02;0.29607
112.86958; 7.595221e-02;0.29814; 7.595221e-02;0.29814
113.36958; 7.750018e-02;0.29788; 7.750018e-02;0.29788
113.86958; 7.884590e-02;0.30070; 7.884590e-02;0.30070
114.36958; 8.021342e-02;0.30336; 8.021342e-02;0.30336
114.86958; 8.175856e-02;0.30575; 8.175856e-02;0.30575
115.36958; 8.327446e-02;0.30788; 8.327446e-02;0.30788
115.86958; 8.478537e-02;0.30979; 8.478537e-02;0.30979
116.36958; 8.617558e-02;0.31174; 8.617558e-02;0.31174
116.86958; 8.755911e-02;0.31358; 8.755911e-02;0.31358
117.36958; 8.904387e-02;0.31514; 8.904387e-02;0.31514
117.86958; 9.051442e-02;0.31680; 9.051442e-02;0.31680
118.36958; 9.195843e-02;0.31828; 9.195843e-02;0.31828
118.86958; 9.340242e-02;0.31973; 9.340242e-02;0.31973
119.36958; 9.500899e-02;0.32114; 9.500899e-02;0.32114
119.86958; 9.668697e-02;0.32252; 9.668697e-02;0.32252
120.36958; 9.826949e-02;0.32419; 9.826949e-02;0.32419
120.86958; 9.989303e-02;0.32553; 9.989303e-02;0.32553
121.36958;      0.10147;0.32687;      0.10147;0.32687
121.86958;      0.10305;0.32829;      0.10305;0.32829
122.36958;      0.10452;0.32989;      0.10452;0.32989
122.86958;      0.10602;0.33148;      0.10602;0.33148
123.36958;      0.10769;0.33292;      0.10769;0.33292
123.86958;      0.10925;0.33450;      0.10925;0.33450
124.36958;      0.11085;0.33612;      0.11085;0.33612
124.86958;      0.11247;0.33787;      0.11247;0.33787
125.36958;      0.11416;0.33959;      0.11416;0.33959
125.86958;      0.11584;0.34136;      0.11584;0.34136
126.36958;      0.11748;0.34313;      0.11748;0.34313
126.86958;      0.11920;0.34495;      0.11920;0.34495
127.36958;      0.12083;0.34693;      0.12083;0.34693
127.86958;      0.12253;0.34885;      0.12253;0.34885
128.36958;      0.12411;0.35067;      0.12411;0.35067
128.86958;      0.12573;0.35254;      0.12573;0.35254
129.36958;      0.12729;0.35455;      0.12729;0.35455
129.86958;      0.12896;0.35642;      0.12896;0.35642
130.36958;      0.13066;0.35830;      0.13066;0.35830
130.86958;      0.13240;0.36031;      0.13240;0.36031
131.36958;      0.13405;0.36221;      0.13405;0.36221
131.86958;      0.13560;0.36406;      0.13560;0.36406
132.36958;      0.13725;0.36598;      0.13725;0.36598
132.86958;      0.13887;0.36798;      0.13887;0.36798
133.36958;      0.14042;0.36984;      0.14042;0.36984
133.86958;      0.14204;0.37159;      0.14204;0.37159
134.36958;      0.14376;0.37347;      0.14376;0.37347
134.86958;      0.14545;0.37528;      0.14545;0.37528
135.36958;      0.14711;0.37727;      0.14711;0.37727
135.86958;      0.14880;0.37913;      0.14880;0.37913
136.36958;      0.15052;0.38100;      0.15052;0.38100
136.86958;      0.15217;0.38286;      0.15217;0.38286
137.36958;      0.15391;0.38476;      0.15391;0.38476
137.86958;      0.15571;0.38696;      0.15571;0.38696
138.36958;      0.15743;0.38874;      0.15743;0.38874
138.86958;      0.15916;0.39062;      0.15916;0.39062
139.36958;      0.16071;0.39252;      0.16071;0.39252
139.86958;      0.16247;0.39467;      0.16247;0.39467
140.36958;      0.16415;0.39660;      0.16415;0.39660
140.86958;      0.16547;0.39855;      0.16547;0.39855
141.36958;      0.16631;0.40050;      0.16631;0.40050
141.86958;      0.16691;0.40246;      0.16691;0.40246
142.36958;      0.16845;0.40450;      0.16845;0.40450
142.86958;      0.16893;0.40632;      0.16893;0.40632
143.36958;      0.16962;0.40842;      0.16962;0.40842
143.86958;      0.16750;0.41035;      0.16750;0.41035
144.36958;      0.16821;0.41243;      0.16821;0.41243
144.86958;      0.16565;0.41435;      0.16565;0.41435
145.36958;      0.16256;0.41630;      0.16256;0.41630
145.86958;      0.15822;0.41829;      0.15822;0.41829
146.36958;      0.15232;0.42026;      0.15232;0.42026
146.86958;      0.14555;0.42217;      0.14555;0.42217
147.36958;      0.13738;0.42406;      0.13738;0.42406
147.86958;      0.12821;0.42601;      0.12821;0.42601
148.36958;      0.11704;0.42802;      0.11704;0.42802
148.86958;      0.10291;0.43009;      0.10291;0.43009
149.36958; 8.421923e-02;0.43198; 8.421923e-02;0.43198
149.86958; 5.935916e-02;0.43374; 5.935916e-02;0.43374
150.36958; 1.877821e-02;0.43587; 1.877821e-02;0.43587
150.86958;-5.173087e-02;0.43810;-5.173087e-02;0.43810
151.36958;     -0.17966;0.44030;     -0.17966;0.44030
151.86958;     -0.41096;0.44246;     -0.41096;0.44246
152.36958;     -0.82390;0.44171;     -0.82390;0.44171
152.86958;     -1.82525;0.44540;     -1.82525;0.44540
153.36958;     -3.15594;0.44811;     -3.15594;0.44811
153.86958;      0.21953;0.45050;      0.21953;0.45050
154.36958;      0.22100;0.45189;      0.22100;0.45189
154.86958;      0.22359;0.45563;      0.22359;0.45563
155.36958;      0.22506;0.45968;      0.22506;0.45968
155.86958;      0.22744;0.67308;      0.22744;0.67308
156.36958;      0.22993;3.27279;      0.22993;3.27279
156.86958;      0.23029;1.74335;      0.23029;1.74335
157.36958;      0.23396;1.20701;      0.23396;1.20701
157.86958;      0.23387;0.91539;      0.23387;0.91539
158.36958;      0.23651;0.75739;      0.23651;0.75739
158.86958;      0.23791;0.67245;      0.23791;0.67245
159.36958;      0.23976;0.62546;      0.23976;0.62546
159.86958;      0.24150;0.59568;      0.24150;0.59568
160.36958;      0.24214;0.57578;      0.24214;0.57578
160.86958;      0.24411;0.55926;      0.24411;0.55926
161.36958;      0.24685;0.54688;      0.24685;0.54688
161.86958;      0.24776;0.53493;      0.24776;0.53493
162.36958;      0.25003;0.52666;      0.25003;0.52666
162.86958;      0.25373;0.51831;      0.25373;0.51831
163.36958;      0.25626;0.51334;      0.25626;0.51334
163.86958;      0.25891;0.50864;      0.25891;0.50864
164.36958;      0.26324;0.50442;      0.26324;0.50442
164.86958;      0.26759;0.50169;      0.26759;0.50169
165.36958;      0.27091;0.49967;      0.27091;0.49967
165.86958;      0.27974;0.49981;      0.27974;0.49981
166.36958;      0.28418;0.49943;      0.28418;0.49943
166.86958;      0.28920;0.49976;      0.28920;0.49976
